t,x,y,altGps,altBaro,voltage,current,speed,sats,lat,lon
0.0,0.0,0.0,459.0,1.318,12.534,0.017,1.1,2,48.6388293,8.9427458
0.1,-0.02,-0.02,459.0,0.0,12.533,0.017,0.44,2,48.6388292,8.9427455
0.2,-0.04,-0.02,459.0,-0.011,12.533,0.017,0.44,2,48.6388292,8.9427453
0.3,-0.05,-0.02,459.1,0.066,12.533,0.011,0.0,2,48.6388292,8.9427452
0.4,-0.05,-0.02,459.1,-0.005,12.533,0.012,0.22,2,48.6388292,8.9427452
0.6,-0.06,-0.02,459.1,-0.037,12.534,0.018,0.44,2,48.6388292,8.942745
0.7,-0.05,-0.02,459.1,0.071,12.534,0.026,0.0,2,48.6388292,8.9427452
0.8,-0.05,-0.02,459.1,0.003,12.533,0.023,0.0,2,48.6388292,8.9427452
0.9,-0.05,-0.02,459.1,-0.037,12.534,0.019,0.44,2,48.6388292,8.9427452
1.0,-0.06,-0.02,459.1,-0.037,12.534,0.019,0.0,2,48.6388292,8.942745
1.1,-0.06,-0.02,459.1,-0.095,12.534,0.027,0.44,2,48.6388292,8.942745
1.2,-0.05,-0.02,459.1,-0.032,12.534,0.026,0.8,2,48.6388292,8.9427452
1.3,-0.06,-0.04,459.1,-0.032,12.533,0.021,0.0,2,48.638829,8.942745
1.4,-0.06,-0.04,459.1,-0.164,12.534,0.015,0.0,2,48.638829,8.942745
1.6,-0.06,-0.04,459.1,-0.053,12.533,0.011,0.0,2,48.638829,8.942745
1.7,-0.06,-0.04,459.1,-0.074,12.534,0.016,0.0,2,48.638829,8.942745
1.8,-0.06,-0.04,459.1,-0.032,12.534,0.022,0.0,2,48.638829,8.942745
1.9,-0.06,-0.04,459.1,0.003,12.533,0.02,0.0,2,48.638829,8.942745
2.0,-0.06,-0.04,459.1,-0.074,12.534,0.016,0.44,2,48.638829,8.942745
2.1,-0.05,-0.04,459.1,-0.095,12.534,0.016,0.0,2,48.638829,8.9427452
2.2,-0.05,-0.04,459.1,-0.206,12.534,0.025,0.44,2,48.638829,8.9427452
2.3,-0.04,-0.04,459.1,-0.169,12.533,0.025,0.44,2,48.638829,8.9427453
2.4,-0.05,-0.04,459.1,-0.122,12.533,0.025,0.33,2,48.638829,8.9427452
2.6,-0.05,-0.06,459.1,-0.016,12.534,0.022,0.44,2,48.6388288,8.9427452
2.7,-0.04,-0.06,459.2,-0.026,12.534,0.022,0.44,2,48.6388288,8.9427453
2.8,-0.05,-0.06,459.2,-0.085,12.533,0.021,0.44,2,48.6388288,8.9427452
2.9,-0.04,-0.06,459.2,-0.079,12.531,0.015,0.0,2,48.6388288,8.9427453
3.0,-0.04,-0.06,459.2,0.042,12.532,0.016,0.0,2,48.6388288,8.9427453
3.1,-0.04,-0.06,459.2,-0.037,12.532,0.014,0.44,2,48.6388288,8.9427453
3.2,-0.05,-0.06,459.2,-0.021,12.533,0.022,0.44,2,48.6388288,8.9427452
3.3,-0.04,-0.06,459.2,-0.021,12.532,0.023,0.66,2,48.6388288,8.9427453
3.4,-0.04,-0.07,459.2,0.005,12.533,0.024,0.0,2,48.6388287,8.9427453
3.6,-0.04,-0.07,459.2,-0.016,12.533,0.024,0.0,2,48.6388287,8.9427453
3.7,-0.04,-0.07,459.2,-0.042,12.532,0.033,0.0,2,48.6388287,8.9427453
3.8,-0.04,-0.07,459.2,0.008,12.533,0.039,0.0,2,48.6388287,8.9427453
3.9,-0.04,-0.07,459.2,0.008,12.533,0.039,0.0,2,48.6388287,8.9427453
4.0,-0.04,-0.07,459.2,-0.127,12.532,0.043,0.0,2,48.6388287,8.9427453
4.1,-0.04,-0.07,459.2,-0.042,12.533,0.04,0.0,2,48.6388287,8.9427453
4.2,-0.04,-0.07,459.2,0.021,12.534,0.04,0.0,2,48.6388287,8.9427453
4.3,-0.04,-0.07,459.2,0.071,12.534,0.037,0.0,2,48.6388287,8.9427453
