t,x,y,altGps,altBaro,voltage,current,sats,lat,lon
0.0,0.0,0.0,459.3,2.33,12.572,0.237,2,48.638828,8.9427538
0.1,0.0,0.0,459.3,2.214,12.574,0.15,2,48.638828,8.9427538
0.2,0.0,0.02,459.3,0.063,12.575,0.152,2,48.6388282,8.9427538
0.3,0.0,0.04,459.3,0.09,12.576,0.155,2,48.6388283,8.9427538
0.4,0.0,0.02,459.3,0.048,12.577,0.159,2,48.6388282,8.9427538
0.5,0.0,0.04,459.3,0.156,12.576,0.175,2,48.6388283,8.9427538
0.6,0.01,0.06,459.3,0.077,12.575,0.185,2,48.6388285,8.942754
0.8,0.0,0.04,459.3,0.087,12.571,0.341,2,48.6388283,8.9427538
0.9,0.0,0.06,459.3,0.048,12.563,0.731,2,48.6388285,8.9427538
1.1,-0.01,0.09,459.3,-0.111,12.546,1.49,2,48.6388288,8.9427537
1.2,-0.01,0.09,459.3,-0.021,12.549,1.377,2,48.6388288,8.9427537
1.4,-0.01,0.13,459.3,-0.053,12.566,0.596,2,48.6388292,8.9427537
1.5,-0.01,0.13,459.3,0.098,12.562,0.791,2,48.6388292,8.9427537
1.7,-0.01,0.15,459.3,-0.116,12.53,2.338,2,48.6388293,8.9427537
1.9,-0.02,0.17,459.3,0.071,12.533,1.9,2,48.6388295,8.9427535
2.1,-0.02,0.17,459.3,0.016,12.555,0.806,2,48.6388295,8.9427535
2.2,-0.04,0.19,459.3,-0.132,12.572,0.313,2,48.6388297,8.9427533
2.3,-0.04,0.2,459.3,-0.026,12.573,0.169,2,48.6388298,8.9427533
2.4,-0.05,0.22,459.3,-0.005,12.574,0.163,2,48.63883,8.9427532
2.5,-0.05,0.24,459.4,-0.1,12.574,0.159,2,48.6388302,8.9427532
2.6,-0.05,0.24,459.4,-0.106,12.574,0.169,2,48.6388302,8.9427532
2.8,-0.04,0.24,459.4,-0.042,12.573,0.179,2,48.6388302,8.9427533
2.9,-0.04,0.26,459.4,-0.069,12.573,0.181,2,48.6388303,8.9427533
3.0,-0.04,0.28,459.4,0.074,12.574,0.172,2,48.6388305,8.9427533
3.1,-0.04,0.28,459.4,0.029,12.574,0.165,2,48.6388305,8.9427533
3.2,-0.04,0.3,459.4,-0.042,12.574,0.163,2,48.6388307,8.9427533
3.3,-0.05,0.3,459.4,-0.069,12.574,0.162,2,48.6388307,8.9427532
3.4,-0.04,0.3,459.4,-0.005,12.574,0.165,2,48.6388307,8.9427533
3.5,-0.04,0.3,459.4,0.053,12.575,0.167,2,48.6388307,8.9427533
3.6,-0.05,0.3,459.4,-0.048,12.574,0.168,2,48.6388307,8.9427532
3.8,-0.05,0.32,459.4,-0.085,12.574,0.171,2,48.6388308,8.9427532
3.9,-0.06,0.32,459.4,-0.132,12.573,0.168,2,48.6388308,8.942753
4.0,-0.06,0.32,459.4,-0.095,12.573,0.165,2,48.6388308,8.942753
4.1,-0.06,0.33,459.4,-0.074,12.573,0.162,2,48.638831,8.942753
4.2,-0.06,0.35,459.4,-0.132,12.574,0.162,2,48.6388312,8.942753
4.3,-0.06,0.35,459.4,-0.1,12.574,0.162,2,48.6388312,8.942753
4.4,-0.06,0.35,459.5,-0.148,12.575,0.161,2,48.6388312,8.942753
4.5,-0.07,0.35,459.5,-0.037,12.576,0.165,2,48.6388312,8.9427528
4.6,-0.07,0.35,459.5,-0.005,12.576,0.169,2,48.6388312,8.9427528
4.8,-0.07,0.37,459.5,-0.032,12.574,0.171,2,48.6388313,8.9427528
4.9,-0.07,0.37,459.5,-0.042,12.574,0.168,2,48.6388313,8.9427528
5.0,-0.07,0.37,459.5,-0.1,12.574,0.17,2,48.6388313,8.9427528
5.1,-0.09,0.37,459.5,-0.1,12.575,0.173,2,48.6388313,8.9427527
5.2,-0.07,0.39,459.5,-0.185,12.575,0.179,2,48.6388315,8.9427528
5.3,-0.07,0.39,459.5,-0.169,12.574,0.176,2,48.6388315,8.9427528
5.4,-0.07,0.39,459.5,-0.227,12.575,0.178,2,48.6388315,8.9427528
5.5,-0.06,0.41,459.5,-0.09,12.575,0.172,2,48.6388317,8.942753
5.7,-0.06,0.43,459.5,-0.116,12.574,0.169,2,48.6388318,8.942753
5.9,-0.06,0.43,459.5,-0.116,12.573,0.178,2,48.6388318,8.942753
6.0,-0.07,0.44,459.5,-0.032,12.574,0.171,2,48.638832,8.9427528
6.2,-0.09,0.44,459.5,-0.122,12.574,0.169,2,48.638832,8.9427527
6.3,-0.1,0.43,459.5,-0.053,12.573,0.178,2,48.6388318,8.9427525
6.5,-0.1,0.41,459.5,-0.111,12.572,0.183,2,48.6388317,8.9427525
6.7,-0.12,0.39,459.5,0.037,12.573,0.177,2,48.6388315,8.9427522
6.9,-0.12,0.39,459.5,-0.074,12.572,0.179,2,48.6388315,8.9427522
7.1,-0.13,0.37,459.4,-0.032,12.572,0.174,2,48.6388313,8.942752
7.3,-0.15,0.37,459.4,-0.196,12.573,0.17,2,48.6388313,8.9427518
7.5,-0.16,0.37,459.4,-0.227,12.572,0.181,2,48.6388313,8.9427517
7.7,-0.16,0.37,459.4,-0.122,12.572,0.179,2,48.6388313,8.9427517
7.9,-0.16,0.33,459.4,-0.264,12.572,0.175,2,48.638831,8.9427517
8.1,-0.17,0.33,459.4,-0.206,12.572,0.167,2,48.638831,8.9427515
8.3,-0.18,0.33,459.3,-0.132,12.573,0.167,2,48.638831,8.9427513
8.5,-0.18,0.33,459.3,-0.159,12.573,0.172,2,48.638831,8.9427513
8.7,-0.18,0.32,459.3,-0.227,12.572,0.184,2,48.6388308,8.9427513
8.9,-0.18,0.3,459.3,-0.137,12.572,0.173,2,48.6388307,8.9427513
9.1,-0.18,0.28,459.3,-0.148,12.573,0.177,2,48.6388305,8.9427513
9.3,-0.18,0.28,459.3,-0.042,12.573,0.177,2,48.6388305,8.9427513
9.5,-0.18,0.26,459.3,-0.095,12.573,0.178,2,48.6388303,8.9427513
9.7,-0.18,0.26,459.3,-0.079,12.572,0.169,2,48.6388303,8.9427513
9.9,-0.18,0.24,459.2,-0.09,12.573,0.175,2,48.6388302,8.9427513
10.1,-0.18,0.24,459.2,0.021,12.573,0.176,2,48.6388302,8.9427513
10.2,-0.18,0.24,459.2,-0.153,12.574,0.172,2,48.6388302,8.9427513
10.4,-0.2,0.22,459.2,-0.132,12.574,0.167,2,48.63883,8.9427512
10.6,-0.2,0.22,459.2,-0.153,12.573,0.174,2,48.63883,8.9427512
10.8,-0.2,0.2,459.2,-0.169,12.572,0.17,2,48.6388298,8.9427512
11.0,-0.2,0.2,459.1,-0.217,12.573,0.167,2,48.6388298,8.9427512
11.1,-0.21,0.19,459.1,-0.143,12.572,0.171,2,48.6388297,8.942751
11.2,-0.21,0.19,459.1,-0.005,12.573,0.17,2,48.6388297,8.942751
11.3,-0.21,0.19,459.1,-0.185,12.574,0.165,2,48.6388297,8.942751
11.4,-0.21,0.17,459.1,-0.18,12.575,0.168,2,48.6388295,8.942751
11.5,-0.22,0.17,459.1,0.016,12.575,0.172,2,48.6388295,8.9427508
11.6,-0.22,0.17,459.1,-0.159,12.575,0.179,2,48.6388295,8.9427508
11.8,-0.22,0.17,459.1,-0.122,12.573,0.186,2,48.6388295,8.9427508
